status,titulo,local,data,icon,inicio,fim
next,Salomé,Cine-Teatro de Estarreja,Estreia 01 Out,🌖,2026-10-01,2026-10-15
next,Medeia,Cine-Teatro Sobral Monte Agraço,Estreia 10 Out,🗡️,2026-10-10,2026-10-22
next,Lisístrata,Fórum Cultural de Ermesinde,Estreia 15 Out,🕊️,2026-10-15,2026-10-30
next,Casa de Bonecas,Teatro Cine de Gouveia,Estreia 02 Set,🪆,2026-09-02,2026-09-15
next,Bodas de Sangue,Teatro José Lúcio da Silva - Leiria,Estreia 18 Set,🍷,2026-09-18,2026-10-02
next,Fausto,CAE - Figueira da Foz,Estreia 25 Set,🕯️,2026-09-25,2026-10-10
next,A Importância de ser Ernesto,Auditório de Penafiel,Estreia 02 Out,🧐,2026-10-02,2026-10-15
next,Édipo Rei,Auditório de Mirandela,Estreia 10 Out,👁️,2026-10-10,2026-10-22
next,Don Juan,Teatro Municipal Castelo Branco,Estreia 16 Out,🌹,2026-10-16,2026-10-30
next,A Comédia dos Erros,Teatro Cinema de Fafe,Estreia 22 Out,🤪,2026-10-22,2026-11-05
next,Muito Barulho por Nada,Cine-Teatro Paraíso - Tomar,Estreia 28 Out,🗣️,2026-10-28,2026-11-10
next,Noite de Reis,Teatro Ribeiro Conceição - Lamego,Estreia 05 Nov,🧥,2026-11-05,2026-11-20
next,Sr. Camões - Terra à Vista,Teatro Sá da Bandeira - Porto,Estreia 15 Set,🚢,2026-09-15,2026-10-20
next,Otelo,Teatro Municipal de Vila do Conde,Estreia 08 Set,🖤,2026-09-08,2026-09-22
next,A Pequena Sereia,Teatro das Figuras - Faro,Estreia 01 Out,🧜‍♀️,2026-10-01,2026-10-15
next,Gisberta,Teatro S. Luiz - Lisboa,Estreia 12 Set,🏳️‍⚧️,2026-09-12,2026-09-28
next,O Musical da Disney,Altice Arena - Lisboa,Estreia 10 Out,🏰,2026-10-10,2026-10-18
next,A Menina do Mar,Auditório de Espinho,Estreia 20 Set,🐚,2026-09-20,2026-10-05
next,Os Maias - A Peça,Teatro Sá da Bandeira - Porto,Estreia 15 Out,🎓,2026-10-15,2026-11-15
next,Memorial do Convento,Teatro da Malaposta - Odivelas,Estreia 05 Set,🏗️,2026-09-05,2026-09-25
next,Auto da Compadecida,Teatro Taborda - Lisboa,Estreia 12 Out,⛪,2026-10-12,2026-10-30
next,Gata em Telhado de Zinco Quente,Teatro Municipal de Almada,Estreia 20 Set,🐱,2026-09-20,2026-10-10
next,A Varanda de Fradiquinho,Teatro das Beiras - Covilhã,Estreia 15 Set,🏠,2026-09-15,2026-09-30
next,O Gato Malhado e a Andorinha Sinhá,Teatro Municipal de Bragança,Estreia 12 Out,🐱,2026-10-12,2026-10-25
next,A Bilha Quebrada,Teatro Cine de Pombal,Estreia 05 Out,🏺,2026-10-05,2026-10-18
next,Terror e Miséria no III Reich,Teatro da Rainha - Caldas,Estreia 15 Set,⛓️,2026-09-15,2026-09-30
next,O Velho da Horta,Teatro Municipal da Covilhã,Estreia 02 Out,🥕,2026-10-02,2026-10-15
next,Tio Vânia,Teatro Virgínia - Torres Novas,Estreia 01 Out,👴,2026-10-01,2026-10-15
next,As Criadas,Teatro Diogo Bernardes - P. Lima,Estreia 15 Out,🧹,2026-10-15,2026-10-28
next,O Mar,Teatro Municipal de Portimão,Estreia 20 Set,🌊,2026-09-20,2026-10-05
next,O Labirinto,Fórum Cultural de Alcochete,Estreia 05 Out,🌀,2026-10-05,2026-10-18
next,Aurora,Teatro Maria Matos - Lisboa,Estreia 15 Out,🌅,2026-10-15,2026-11-15
next,Noite de Estreia,Teatro S. Luiz - Lisboa,Estreia 22 Out,🌟,2026-10-22,2026-11-10
next,Ensaio sobre a Cegueira,Teatro Nacional S. João - Porto,Estreia 25 Out,👓,2026-10-25,2026-11-20
next,O Bando de S. Pancrácio,Teatro da Comuna - Lisboa,Estreia 10 Set,🛡️,2026-09-10,2026-09-28
next,A Farsa de Inês Pereira,Teatro Cine de Gouveia,Estreia 01 Out,💍,2026-10-01,2026-10-15
next,Antígona,TAGV - Coimbra,Estreia 01 Out,🏛️,2026-10-01,2026-10-15
next,Um Elétrico Chamado Desejo,Teatro Municipal de Chaves,Estreia 10 Out,🚋,2026-10-10,2026-10-22
next,O Quebra-Nozes,Teatro Municipal de Portimão,Estreia 01 Nov,🎄,2026-11-01,2026-11-15
next,A Castro,Convento S. Francisco - Coimbra,Estreia 15 Set,🩸,2026-09-15,2026-09-30
next,Frei Luís de Sousa,Teatro Baltazar Dias - Funchal,Estreia 01 Out,📜,2026-10-01,2026-10-18
next,O Doente Imaginário,Teatro Municipal da Guarda,Estreia 10 Set,🤒,2026-09-10,2026-09-25
next,A Noite,Teatro da Malaposta - Odivelas,Estreia 18 Set,🌙,2026-09-18,2026-10-05
next,Check-In,Teatro Sá de Miranda - Viana,Estreia 25 Set,✈️,2026-09-25,2026-10-10
next,Pinóquio,CCB - Lisboa,Estreia 01 Out,🪵,2026-10-01,2026-10-25
next,Macbeth Experimental,Teatro Micaelense - Ponta Delgada,Estreia 15 Out,🗡️,2026-10-15,2026-10-30
next,O Auto da Índia,Teatro Municipal de Portimão,Estreia 05 Set,🇮🇳,2026-09-05,2026-09-20
next,Fachabor!,Teatro Sá da Bandeira - Porto,Estreia 12 Set,🏫,2026-09-12,2026-10-05
next,Zoo Story,Teatro da Comuna - Lisboa,Estreia 20 Set,🐵,2026-09-20,2026-10-10
next,Os Maias,Teatro Rivoli - Porto,Estreia 05 Out,📚,2026-10-05,2026-10-20
next,O Gaiteiro de Hamelin,Teatro Municipal de Vila Real,Estreia 12 Set,🪈,2026-09-12,2026-09-25
next,As Fenícias,Teatro Municipal de Bragança,Estreia 08 Out,⚔️,2026-10-08,2026-10-20
next,Medeia em Corinto,Cine-Teatro de Estarreja,Estreia 15 Out,🏛️,2026-10-15,2026-10-28
next,A Vida de Galileu,Teatro Viriato - Viseu,Estreia 01 Nov,🔭,2026-11-01,2026-11-15
next,O Tartufo,Teatro Sá de Miranda - Viana,Estreia 08 Nov,⛪,2026-11-08,2026-11-22
next,As Troianas,Teatro das Figuras - Faro,Estreia 05 Out,🔥,2026-10-05,2026-10-18
next,Prometeu Acorrentado,Teatro Aveirense - Aveiro,Estreia 12 Out,⛓️,2026-10-12,2026-10-25
next,Electra,Teatro Garcia de Resende - Évora,Estreia 20 Out,⚡,2026-10-20,2026-11-02
next,O Revisor,Teatro Micaelense - Ponta Delgada,Estreia 01 Nov,📜,2026-11-01,2026-11-15
next,A Vida é Sonho,Teatro Baltazar Dias - Funchal,Estreia 08 Nov,💭,2026-11-08,2026-11-22
