status,titulo,local,data,icon,inicio,fim
next,Lisístrata,Fórum Cultural de Ermesinde,15/10 a 30/10,🕊️,2026-10-15,2026-10-30
now,Bodas de Sangue,Teatro José Lúcio da Silva - Leiria,18/09 a 02/10,🍷,2026-09-18,2026-10-02
next,Fausto,CAE - Figueira da Foz,25/09 a 10/10,🕯️,2026-09-25,2026-10-10
next,A Importância de ser Ernesto,Auditório de Penafiel,02/10 a 15/10,🧐,2026-10-02,2026-10-15
next,Édipo Rei,Auditório de Mirandela,10/10 a 22/10,👁️,2026-10-10,2026-10-22
next,Don Juan,Teatro Municipal Castelo Branco,16/10 a 30/10,🌹,2026-10-16,2026-10-30
next,A Comédia dos Erros,Teatro Cinema de Fafe,22/10 a 05/11,🤪,2026-10-22,2026-11-05
next,Muito Barulho por Nada,Cine-Teatro Paraíso - Tomar,28/10 a 10/11,🗣️,2026-10-28,2026-11-10
next,Noite de Reis,Teatro Ribeiro Conceição - Lamego,05/11 a 20/11,🧥,2026-11-05,2026-11-20
now,Sr. Camões - Terra à Vista,Teatro Sá da Bandeira - Porto,15/09 a 20/10,🚢,2026-09-15,2026-10-20
now,Otelo,Teatro Municipal de Vila do Conde,08/09 a 22/09,🖤,2026-09-08,2026-09-22
next,A Pequena Sereia,Teatro das Figuras - Faro,01/10 a 15/10,🧜‍♀️,2026-10-01,2026-10-15
now,Gisberta,Teatro S. Luiz - Lisboa,12/09 a 28/09,🏳️‍⚧️,2026-09-12,2026-09-28
next,O Musical da Disney,Altice Arena - Lisboa,10/10 a 18/10,🏰,2026-10-10,2026-10-18
next,A Menina do Mar,Auditório de Espinho,20/09 a 05/10,🐚,2026-09-20,2026-10-05
next,Os Maias - A Peça,Teatro Sá da Bandeira - Porto,15/10 a 15/11,🎓,2026-10-15,2026-11-15
now,Memorial do Convento,Teatro da Malaposta - Odivelas,05/09 a 25/09,🏗️,2026-09-05,2026-09-25
next,Auto da Compadecida,Teatro Taborda - Lisboa,12/10 a 30/10,⛪,2026-10-12,2026-10-30
next,Gata em Telhado de Zinco Quente,Teatro Municipal de Almada,20/09 a 10/10,🐱,2026-09-20,2026-10-10
now,A Varanda de Fradiquinho,Teatro das Beiras - Covilhã,15/09 a 30/09,🏠,2026-09-15,2026-09-30
next,O Gato Malhado e a Andorinha Sinhá,Teatro Municipal de Bragança,12/10 a 25/10,🐱,2026-10-12,2026-10-25
next,A Bilha Quebrada,Teatro Cine de Pombal,05/10 a 18/10,🏺,2026-10-05,2026-10-18
now,Terror e Miséria no III Reich,Teatro da Rainha - Caldas da Rainha,15/09 a 30/09,⛓️,2026-09-15,2026-09-30
next,O Velho da Horta,Teatro Municipal da Covilhã,02/10 a 15/10,🥕,2026-10-02,2026-10-15
next,Tio Vânia,Teatro Virgínia - Torres Novas,01/10 a 15/10,👴,2026-10-01,2026-10-15
next,As Criadas,Teatro Diogo Bernardes - Ponte de Lima,15/10 a 28/10,🧹,2026-10-15,2026-10-28
next,O Mar,Teatro Municipal de Portimão,20/09 a 05/10,🌊,2026-09-20,2026-10-05
next,O Labirinto,Fórum Cultural de Alcochete,05/10 a 18/10,🌀,2026-10-05,2026-10-18
next,Aurora,Teatro Maria Matos - Lisboa,15/10 a 15/11,🌅,2026-10-15,2026-11-15
next,Noite de Estreia,Teatro S. Luiz - Lisboa,22/10 a 10/11,🌟,2026-10-22,2026-11-10
next,Ensaio sobre a Cegueira,Teatro Nacional São João - Porto,25/10 a 20/11,👓,2026-10-25,2026-11-20
now,O Bando de S. Pancrácio,Teatro da Comuna - Lisboa,10/09 a 28/09,🛡️,2026-09-10,2026-09-28
next,A Farsa de Inês Pereira,Teatro Cine de Gouveia,01/10 a 15/10,💍,2026-10-01,2026-10-15
next,Antígona,TAGV - Coimbra,01/10 a 15/10,🏛️,2026-10-01,2026-10-15
next,Um Elétrico Chamado Desejo,Teatro Municipal de Chaves,10/10 a 22/10,🚋,2026-10-10,2026-10-22
next,O Quebra-Nozes,Teatro Municipal de Portimão,01/11 a 15/11,🎄,2026-11-01,2026-11-15
now,A Castro,Convento S. Francisco - Coimbra,15/09 a 30/09,🩸,2026-09-15,2026-09-30
next,Frei Luís de Sousa,Teatro Baltazar Dias - Funchal,01/10 a 18/10,📜,2026-10-01,2026-10-18
now,O Doente Imaginário,Teatro Municipal da Guarda,10/09 a 25/09,🤒,2026-09-10,2026-09-25
now,A Noite,Teatro da Malaposta - Odivelas,18/09 a 05/10,🌙,2026-09-18,2026-10-05
next,Check-In,Teatro Sá de Miranda - Viana do Castelo,25/09 a 10/10,✈️,2026-09-25,2026-10-10
next,Pinóquio,CCB - Lisboa,01/10 a 25/10,🪵,2026-10-01,2026-10-25
next,Macbeth Experimental,Teatro Micaelense - Ponta Delgada,15/10 a 30/10,🗡️,2026-10-15,2026-10-30
now,O Auto da Índia,Teatro Municipal de Portimão,05/09 a 20/09,🇮🇳,2026-09-05,2026-09-20
now,Fachabor!,Teatro Sá da Bandeira - Porto,12/09 a 05/10,🏫,2026-09-12,2026-10-05
next,Zoo Story,Teatro da Comuna - Lisboa,20/09 a 10/10,🐵,2026-09-20,2026-10-10
next,Os Maias,Teatro Rivoli - Porto,05/10 a 20/10,📚,2026-10-05,2026-10-20
now,O Gaiteiro de Hamelin,Teatro Municipal de Vila Real,12/09 a 25/09,🪈,2026-09-12,2026-09-25
next,As Fenícias,Teatro Municipal de Bragança,08/10 a 20/10,⚔️,2026-10-08,2026-10-20
next,Medeia em Corinto,Cine-Teatro de Estarreja,15/10 a 28/10,🏛️,2026-10-15,2026-10-28
next,A Vida de Galileu,Teatro Viriato - Viseu,01/11 a 15/11,🔭,2026-11-01,2026-11-15
next,O Tartufo,Teatro Sá de Miranda - Viana do Castelo,08/11 a 22/11,⛪,2026-11-08,2026-11-22
next,As Troianas,Teatro das Figuras - Faro,05/10 a 18/10,🔥,2026-10-05,2026-10-18
next,Prometeu Acorrentado,Teatro Aveirense - Aveiro,12/10 a 25/10,⛓️,2026-10-12,2026-10-25
next,Electra,Teatro Garcia de Resende - Évora,20/10 a 02/11,⚡,2026-10-20,2026-11-02
next,O Revisor,Teatro Micaelense - Ponta Delgada,01/11 a 15/11,📜,2026-11-01,2026-11-15
next,A Vida é Sonho,Teatro Baltazar Dias - Funchal,08/11 a 22/11,💭,2026-11-08,2026-11-22
